"region","transect_location","mean_tc","sd_tc","cv_tc"
"Great Lakes","wetland",11.9542727272727,10.1920755206279,85.2588505645806
"Great Lakes","transition",9.61233333333333,8.37297700216523,87.106602651093
"Great Lakes","upland",6.37314285714286,4.51759421777604,70.8848729589175
"Mid-Atlantic","wetland",7.01143333333333,4.24942205955468,60.607037926929
"Mid-Atlantic","transition",10.5286153846154,6.71783141840831,63.8054594360483
"Mid-Atlantic","upland",13.7413548387097,10.8317655025959,78.826037386667
