"Predictor","Estimate","Std.Error","t.value","P.Value","Std.Beta","VIF","R2","F_value","F_p_value","Transect"
"std_bulk_density_g_cm3",-4.91872006042282,1.13001443013411,-4.35279402568256,0.000135835773425146,4.91872006042282,1.74279958984915,0.602260189907136,9.38808005301865,1.5903912589348e-05,"Upland"
"std_Ca_meq_100g",-0.839659178395794,1.1125400775506,-0.754722634571883,0.456111108670489,0.839659178395794,1.68931562774696,0.602260189907136,9.38808005301865,1.5903912589348e-05,"Upland"
"std_ph",-1.33444587164209,1.08535959377682,-1.22949654593139,0.228136109302043,1.33444587164209,1.60778054493864,0.602260189907136,9.38808005301865,1.5903912589348e-05,"Upland"
"std_percent_clay",-0.608163480346122,0.893089524652412,-0.6809658646291,0.500948432406,0.608163480346122,1.08860283519394,0.602260189907136,9.38808005301865,1.5903912589348e-05,"Upland"
"std_specific_conductance_us_cm",1.09957064012318,0.966972149665951,1.1371275175847,0.264198485981105,1.09957064012318,1.2761666823212,0.602260189907136,9.38808005301865,1.5903912589348e-05,"Upland"
"std_bulk_density_g_cm3",-3.01960031921998,1.3290624794884,-2.27197770294616,0.0393853084485212,3.01960031921998,3.44665144602181,0.810130556895036,11.9469753648147,0.00012063598158405,"Transition"
"std_Ca_meq_100g",2.13099320048136,1.46218786277923,1.45740041668169,0.167069771738958,2.13099320048136,4.17169856520721,0.810130556895036,11.9469753648147,0.00012063598158405,"Transition"
"std_ph",-0.5381585658163,0.922849036905875,-0.583149078879289,0.569068264647434,0.5381585658163,1.66175845612533,0.810130556895036,11.9469753648147,0.00012063598158405,"Transition"
"std_percent_clay",1.21403870449392,1.24169717945428,0.977725265533328,0.344803844671413,1.21403870449392,3.00841648654755,0.810130556895036,11.9469753648147,0.00012063598158405,"Transition"
"std_specific_conductance_us_cm",0.108394644037601,1.14916944123959,0.0943243356007428,0.926188217970233,0.108394644037601,2.57676437888858,0.810130556895036,11.9469753648147,0.00012063598158405,"Transition"
"std_bulk_density_g_cm3",-0.580592125017706,0.379119593847928,-1.53142210120269,0.176546466588036,0.580592125017706,2.26314405812762,0.909016712890379,11.9892354972203,0.0044460068338626,"Wetland"
"std_Ca_meq_100g",1.49438083175827,0.365217411871906,4.09175680890703,0.00641657286704833,1.49438083175827,2.10020983335106,0.909016712890379,11.9892354972203,0.0044460068338626,"Wetland"
"std_ph",0.583744924338022,0.318813762031911,1.83099035818784,0.116827701056509,0.583744924338022,1.6004195896137,0.909016712890379,11.9892354972203,0.0044460068338626,"Wetland"
"std_percent_clay",0.167647515597204,0.361847843461252,0.463309423081186,0.659472203503966,0.167647515597204,2.06163470250314,0.909016712890379,11.9892354972203,0.0044460068338626,"Wetland"
"std_specific_conductance_us_cm",0.130206105811686,0.355698762363853,0.366057236034168,0.726882706188568,0.130206105811686,1.99216105931761,0.909016712890379,11.9892354972203,0.0044460068338626,"Wetland"
